plant_name, filters_air, is_toxic, sun_exposure, beginner_friendly, watering_schedule, plant_tip, plant_details, plant_img, water_tip

Monstera Deliciosa|True|True|Bright indirect to medium light|True|11|Nicknamed the "swiss cheese plant”, the Monstera deliciosa is famous for its quirky natural leaf holes. These holes are theorized to maximize sun fleck capture on the forest floor.|Monstera deliciosa is a species of evergreen tropical vine that is a part of Araceae, the aroid family. Native to the Tropical Americas, it is one of the few aroids which produces edible fruit, hence the species epithet deliciosa. However, it's incredibly rare that a Monstera will flower or produce fruit indoors. Instead, this plant is famous for its beautiful broad green leaves with natural leaf-holes, called fenestrations, which have led to the rise of its nickname, ‘swiss cheese plant’. These holes are theorized to maximize sun fleck capture on the forest floor by increasing the spread of the leaf while decreasing the mass of leaf cells to support.|Water every 1–2 weeks
Philodendron Green|True|True|Bright indirect to low light|True|11|Philodendron is a genus of herbaceous evergreen tropical plants which belongs to the aroid family Araceae|Taxonomically, the genus Philodendron is considered to be a ‘trashbag’ genus because newly-discovered plants that look like philos are placed in this group until they can be further parsed out. This is not uncommon as many aroids tend to look like one another at some point in their life cycle. This particular Philodendron has delicate heart-shaped green leaves and trailing wiry vines.|Water every 1–2 weeks
Snake Plant Laurentii|True|True|Bright indirect to low light|True|18|The Snake Plant Laurentii is a succulent plant characterized by its upright swordlike leaves with vibrant yellow edges.|A multitasker, the snake plant purifies indoor air by removing toxins such as formaldehyde, xylene, and toluene. Native to southern and central Africa, the Sansevieria trifasciata 'Laurentii' is a cultivar of snake plant with yellow variegated edges. Snake plants are tropical plants that are also succulents. Often positioned as low light plants, they are actually medium to bright light plants that tolerate, but not thrive in low light. Like other succulent plants, they have a modified form of photosynthesis, where in order to preserve water, the plant opens its pores exclusively at night. However, since photosynthesis only happens with daylight, the plant stores carbon dioxide acquired at night for use during the day, and releases oxygen (one of the end products of photosynthesis) at night when the pores open. This helps it to maximize efficiency in cleaning the air, as found in study conducted by NASA.|Water every 2–3 weeks
ZZ Plant|True|True|Medium to low indirect light|True|18|The ZZ Plant is characterized by its thick waxy green leaves. It is a great air purifying option that can tolerate low light, making it a perfect plant for beginners.|Zamioculcas zamiifolia, affectionately called the ZZ plant or Zanzibar Gem, is a tropical plant in the aroid family, Araceae. It is native to Zanzibar, Kenya, and Eastern Africa. You might spot large potato-like rhizomes under the surface of its potting mix. Having evolved in drier conditions than most other aroids, these plants have evolved rhizomes that store water to help the ZZ plant survive drought in its natural environment. The rhizomes are actually underground stems, and what you see above ground are the stems' leaves. Using these underground rhizomes, the plant slowly creeps over time to new locations, spawning new aboveground leaves along the way.|Water every 2–3 weeks
Snake Zeylanica|True|True|Bright indirect to low light|True|18|The Snake Plant Zeylanica is a succulent plant characterized by its upright swordlike leaves with green reptile-like variegation.|Native to arid regions of India, Sansevieria zeylanica is a species of snake plant characterized by its dark green variegation. Snake plants are tropical plants that are also succulents. Often positioned as low light plants, they are actually medium to bright light plants that tolerate, but not thrive in low light. Like other succulent plants, they have a modified form of photosynthesis, where in order to preserve water, the plant opens its pores exclusively at night. However, since photosynthesis only happens with daylight, the plant stores carbon dioxide acquired at night for use during the day, and releases oxygen (one of the end products of photosynthesis) at night when the pores open. This helps it to maximize efficiency in cleaning the air, as found in study conducted by NASA.|Water every 2–3 weeks
Calathea Rattlesnake|True|False|11|Bright indirect to low light|True|The Calathea Rattlesnake has long wavy green leaves with a pattern of deep green brushstrokes on top, resembling reptile skin, and a deep purple underside.|Calathea lancifolia, the Rattlesnake Calathea, is a colorful member of the prayer plant family, Marantaceae. Calatheas are often called 'prayer plants' because of their unique leaf movements: they raise and lower their leaves from day to night as a part of their circadian rhythm. This phenomenon is called nyctinasty. Plant movements are controlled by a flux of water pressure in the pulvini - nodes at the base of the leaves. Scientists theorize that these movements are meant to follow the sun and catch as much light as possible –– an essential trait for a forest-floor-dwelling plant!|Water every 1–2 weeks
Marble Queen Pothos|True|True|11|Medium to low indirect light|False|The Pothos Marble and its quick growing vines full of variegated green and white leaves will make any space look more lush. It is a great low maintenance choice for beginners.|Epipremnum aureum, or Pothos, is a tropical aroid vine in the family Araceae and native to French Polynesia. Like other closely-related aroids, this plant's leaves will change in shape with age (similar to a Monstera). The leaves can be found in the wild sprawled out along the ground and climbing up trees. Considered to be in the monstera subfamily Monsteroideae, these plants can truly grow monsterous! In mature plants, the leaves can grow to be longer than 3 feet long. Pothos have the ability to spontaneously generate variegation, which has led to several cultivars of variegation and color – marble, classic jade, and neon.|Water every 1–2 weeks
Pothos|True|True|Medium to low indirect light|False|11|The Pothos and its quick growing vines will make any space look more lush. It is a great low maintenance choice for beginners. Note your Pothos could have vibrant green leaves or be a variegated white & green variety.|Epipremnum aureum, or Pothos, is a tropical aroid vine in the family Araceae and native to French Polynesia. Like other closely-related aroids, this plant's leaves will change in shape with age (similar to a Monstera). The leaves can be found in the wild sprawled out along the ground and climbing up trees. Considered to be in the monstera subfamily Monsteroideae, these plants can truly grow monsterous! In mature plants, the leaves can grow to be longer than 3 feet long. Pothos have the ability to spontaneously generate variegation, which has led to several cultivars of variegation and color – marble, classic jade, and neon.|Water every 1–2 weeks
Bird’s Nest Fern|True|False|Bright indirect to low light|True|11|Known for its wavy ripple-edge fronds that grow out of a central rosette, this plant will add vibrant pop of green to any space. We love it because it’s considered non-toxic, making it safe to keep around your furry friends.|Asplenium nidus is most commonly referred to as the Bird’s Nest Fern. In the wild, this fern grows everywhere: on trees and on the ground. Descended from an ancient lineage of plants, these plants never flower or produce seeds. Instead, they sporulate to reproduce! Spores are generated from leaf tissue. All plants that sporulate love moisture and can tolerate being perpetually moist (but not wet). It is theorized that in later plants, flowers and cones evolved from modified sporulating leaf structures.|Water every 1–2 weeks
Fiddle Leaf Fig|True|True|Bright direct to indirect light|False|11|The Fiddle Leaf Fig is famous for its broad, vibrant green leaves with prominent veining. It prefers a stable environment and can be fickle when temps fluctuate.|The Fiddle Leaf Fig (Ficus lyrata) is a species of fig tree native to the lowland tropics of western Africa. In its native habitat, it can grow over forty feet tall, however indoor fiddle leaf figs are significantly smaller. Their leaves vary in shape but are often broad, leathery in texture, and a vibrant green hue with prominent veining. Some say they resemble a fiddle – hence their name. The fiddle leaf fig is most happy in a stable environment temperature-wise where it receives at least a few hours of bright direct light a day. They can be fickle with temperature and light changes, so consistency is key.|Water every 1–2 weeks
Hoya Heart Plant|True|False, Bright direct to indirect light|True|18|This Hoya kerrii plant is commonly referred to as the Hoya Heart because of its heart-shaped leaves. This single leaf cutting is partially rooted, and comes handpotted in your choice of earthenware planter.|Hoya kerrii, or Hoya Hearts, are tropical succulent vines that are often cultivated and sold as leaf cuttings. They belong to the Dogbane family, Apocynaceae, which includes some notable plants such as Dogbane, Oleander, Plumeria, Periwinkle, Golden Trumpet, and Mandevilla.  Plants in Apocynaceae have latex sap, are usually fragrant, and are high in alkaloids (esp. Iridoids).  The aromatic compounds produced by the flowers are prized as fragrances in perfumes, and the flowers are also cultivated as ornamentals in warmer climates. Hoya flowers are fragrant and waxy-looking, with the fragrance changing with the age of the flower.|Water every 2–3 weeks
Maranta|True|False|Bright indirect to medium light|True|11|Nicknamed the “prayer plant”, the Maranta is famous for the unique up and down movements of its dramatic foliage. It can tolerate low light, is air purifying, and makes a fantastic birthday gift for your favorite plant parent|The Maranta (Maranta leucomeura) is a pet-friendly prayer plant known for its dramatic foliage. Native to the tropical forests of Brazil, the maranta is most at home in indirect bright light and slightly higher humidity. If your maranta fades in color or becomes washed out, it might be receiving too much direct sun. Marantas (and their family members, calatheas) are often called 'prayer plants' because of their unique leaf movements — they raise and lower their leaves from day to night as a part of their circadian rhythm. This phenomenon is called nyctinasty. Plant movements are controlled by a flux of water pressure in the pulvini (nodes at the base of the leaves). Scientists theorize that these movements are meant to follow the sun and catch as much light as possible — an essential trait for a forest-floor-dwelling plant.|Water every 1–2 weeks
Parlor Palm|True|False|Bright inderect to low light|True|11|The Parlor Palm is a favorite easy-care palm with tropical fronds known for its air purifying qualities.|Chamaedorea elegans, also known as the Neanthe Bella Parlor Palm, is one of our favorite true palms. With the right care and many, many repottings, the Parlor Palm can grow to well over six feet tall. But do not repot more than once a year, as their roots like to relax. Although in the same family as coconuts and dates, which produce edible fruit from flowers at the top of the plant, this plant produces inedible fruit from flowers at the base of the plant. It most likely will not flower indoors, but it will bring a tropical feel to any space. Cultivated since the Victorian era, this species of palm is prized for its resilience to indoor conditions and reliable habit.|Water every 1–2 weeks
Money Tree Plant|True|False| Bright indirect to medium light|True|11|The Money Tree is a popular houseplant because of its resilience, ease of growth, and fun braided trunk.|Pachira is a genus of evergreen tropical trees native to the neotropics. They belong to the family Malvaceae, the cotton and hibiscus family. This plant seems to come to the houseplant world in a fog of mystery. Known by many names — money tree, water chestnut, guinea nut, and so many more — this plant seems to have found its way into every plant shop around. Like any plant that’s bred for commercial or ornamental purposes, one of the key features of a wanted plant is a plant that is prolific, easy to grow, and tolerant of varying conditions. These plants are actually quite weedy in the tropics, often being grown as erosion-control trees.|Water every 1–2 weeks
Bird of Paradise|True|True| Bright indirect to direct light|True|11|With its broad vibrant green leaves, the Bird of Paradise brings a touch of the tropics to any room. It does best in a sunny spot.|Strelitzia reginae, closely related to the bananas (Musaceae), is a species of evergreen tropical herbaceous plant that is native to South Africa. These regal plants are thus named for the beautiful, cranelike flowers that they produce. If given full, southern exposure, proper humidity, and temperature, they may flower indoors. This plant’s scientific name commemorates Charlotte of Mecklenburg-Strelitz, Queen consort and wife of King George III. Queen Charlotte was a patron of the arts and an amateur botanist, and helped to greatly expand Kew Gardens.|Water every 1–2 weeks
Red Aglaonema|True|True| Bright indirect to low light|True|11|A showstopping beauty with vibrant green, pink, and red foliage – the easy-going Aglaonema only looks hard to care for. This low maintenance houseplant will add a pop of color to any interior space, but to keep its coloring bold, place your Aglaonema in bright to medium indirect light indoors.|The Aglaonema is native to tropical and subtropical regions of Asia and New Guinea. Its colorful, patterned foliage and easy-going nature has made it a popular ornamental plant, especially among collectors. It is regularly cultivated and hybridized to make new cultivars. We love the striking pink and red hues of this variety. This low maintenance houseplant will add a pop of color to any space, but to keep its coloring bright and bold, place your Aglaonema in bright to medium indirect light indoors.|Water every 1–2 weeks
Ponytail Palm|True|False|Bright direct to indirect light|True|11|A popular pet-friendly plant, the Ponytail Palm is known for its thick, water-storing trunk and quirky, curly leaves that grow from the top like a ponytail. A hardy houseplant, the Ponytail Palm is not a true palm, but an evergreen perennial with succulent characteristics. This plant thrives in a spot that regularly receives bright light.|The Ponytail Palm, or Beaucarnea recurvata, is a popular ornamental plant native to eastern Mexico. This slow growing plant is not a true palm, despite its common name! Known for its thick, almost swollen trunk that stores water, the Ponytail Palm is an evergreen perennial with succulent characteristics. It is drought tolerant, and does best in full sun to partial shade. Added bonus, this plant is considered non toxic – making it safe to keep around your furry friends!|Water every 1-2 weeks
Air Plant|True|False|Bright indirect light|True|7| All Tillandsia are referred to as air plants due to their ability to grow without any soil.|Tillandsia is a genus of neotropical epiphytic plants belonging to the bromeliad family, Bromeliaceae. All Tillandsia are referred to as air plants due to their ability to grow without any soil. In their native environment, they can be found growing on top of tree branches, cliffs, and even telephone wires! They have evolved to pull in water from the frequent rainshowers through their fuzzy trichomes. To collect nutrients, they have not only specialized their trichomes to catch dust, but have also made root associations with fungi to help collect nutrients from their surroundings.|Water every week
White Orchid|True|False|Bright indirect|True|11|Often called the beginner orchid or ‘moth orchid’, the popular pet-friendly Phalaenopsis orchid is one of the easiest varieties of orchids to grow as a houseplant. Indoors, it will typically bloom about once a year, for up to three months.|Often called the beginner orchid or ‘moth orchid’, the popular Phalaenopsis orchid is one of the easiest varieties of orchids to grow as a houseplant. Native to India, China, and Southeast Asia – this orchid with leafy stems and long-lasting flowers does best a bright, warm, humid spot. Indoors, the Phalaenopsis orchid will typically bloom about once a year, for up to three months. After a blooming cycle, the flowers will wilt and fall off. When this happens, don’t worry, your orchid is not dead – it’s just storing up energy to re-bloom again next season.|Water every 1-2 weeks
White Anthurium|True|True|Bright indirect to medium light|True|11|Anthuriums are the world’s longest blooming houseplant – they are rarely without their showy blooms! Each bloom can last up to eight weeks, and new ones will pop up often. These aren’t actual flowers, but modified waxy leaves. Anthuriums flourish and bloom best in bright indirect light.|Anthuriums are flowering plants native to the Americas. They are known for their brightly colored flowers, which aren't really flowers but are modified waxy leaves! The more bright indirect light this plant is positioned in, the more ‘flowers’ it can produce. To keep this plant happy and healthy, prune off dead or dying foliage, and keep away from radiators and air conditioners. Like other blooming plants, the anthurium can go through blooming cycles but it is rarely without any blooms!|Water every 1-2 weeks
Purple Orchid|True|False|Bright indirect|True|11|Often called the beginner orchid or ‘moth orchid’, the popular pet-friendly Phalaenopsis orchid is one of the easiest varieties of orchids to grow as a houseplant. Indoors, it will typically bloom about once a year, for up to three months. After a blooming cycle, the flowers will wilt and fall off. This is the orchid’s way to store up energy to re-bloom again next season.|Native to India, China, and Southeast Asia – this orchid with leafy stems and long-lasting flowers does best a bright, warm, humid spot. Indoors, the Phalaenopsis orchid will typically bloom about once a year, for up to three months. After a blooming cycle, the flowers will wilt and fall off. When this happens, don’t worry, your orchid is not dead – it’s just storing up energy to re-bloom again next season.|Water every 1-2 weeks
Haworthia|True|False|Bright direct to indirect light|True|18|This quirky, compact succulent is a team favorite. A drought tolerant succulent, the Haworthia survives on little more than sunshine, and the occasional watering. Added bonus – it's pet-safe.|Haworthia are hardy succulents that are so closely related to gasterias and aloes that they can cross breed with each other freely to form hybrids. With such a variable morphology and crossing habits, there is much debate to the placement of these plants within the family, Asphodelaceae (subfamily Alooideae). Due to so many naturally-occurring hybrids, identification and definition of any species is difficult. Some hybrids have accidentally been named as separate species, which adds to the confusion. Some scientists even think that they should all be separate species under one genus.|Water every 2-3 weeks
